[2025-12-01 00:51:27] [DEBUG] unknown:0 | Database query result | Context: {"book_id":"9","book_found":true,"book_data":{"id":9,"ten_sach":"Muôn Kiếp Nhân Sinh","tac_gia":"Nguyễn Nhật Ánh","gia_goc":"145000.00","gia_khuyen_mai":"116000.00","phan_tram_giam":20,"so_luong":55,"mo_ta":"Cuốn sách về luật nhân quả, luân hồi qua những câu chuyện ngắn gọn nhưng sâu sắc, giúp người đọc hiểu hơn về cuộc sống.","anh_bia":"muonkiepnhansinh.jpg","id_danh_muc":4,"ngay_tao":"2025-11-19 23:28:53","ngay_cap_nhat":"2025-11-19 23:28:53"}}
[2025-12-01 00:51:27] [DEBUG] unknown:0 | Book added to cart | Context: {"book_id":"9","book_title":"Muôn Kiếp Nhân Sinh","book_author":"Nguyễn Nhật Ánh","quantity":1,"cart_total":3}
[2025-12-01 00:51:27] [DEBUG] unknown:0 | Sending JSON response | Context: {"response":{"success":true,"message":"Đã thêm sản phẩm vào giỏ hàng thành công!","cartCount":3,"subtotal":302000,"finalTotal":302000,"discount":0,"lineTotal":116000},"cart_count":3}
[2025-12-01 00:51:27] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"lpup50phpljc5rssr9ank9707s"}
[2025-12-01 00:51:27] [DEBUG] unknown:0 | CartController::add() called | Context: {"POST_data":{"id":"8","qty":"1"},"SERVER_data":{"HTTP_X_REQUESTED_WITH":"XMLHttpRequest","REQUEST_METHOD":"POST","CONTENT_TYPE":"multipart/form-data; boundary=----WebKitFormBoundarys93XDUEV1gc3ArAk"}}
[2025-12-01 00:51:27] [DEBUG] unknown:0 | Processing add to cart | Context: {"book_id":"8","quantity":1}
[2025-12-01 00:51:27] [DEBUG] unknown:0 | Database connection successful
[2025-12-01 00:51:27] [DEBUG] unknown:0 | Database query result | Context: {"book_id":"8","book_found":true,"book_data":{"id":8,"ten_sach":"Cho Tôi Xin Một Vé Đi Tuổi Thơ","tac_gia":"Nguyễn Nhật Ánh","gia_goc":"90000.00","gia_khuyen_mai":"72000.00","phan_tram_giam":20,"so_luong":70,"mo_ta":"Tuyển tập truyện ngắn hay nhất của Nguyễn Nhật Ánh, gợi nhớ về những tháng năm tuổi thơ trong sáng và ngọt ngào.","anh_bia":"chotoixinmotvedivetuoitho.jpg","id_danh_muc":6,"ngay_tao":"2025-11-19 23:28:53","ngay_cap_nhat":"2025-11-19 23:28:53"}}
[2025-12-01 00:51:27] [DEBUG] unknown:0 | Book added to cart | Context: {"book_id":"8","book_title":"Cho Tôi Xin Một Vé Đi Tuổi Thơ","book_author":"Nguyễn Nhật Ánh","quantity":1,"cart_total":4}
[2025-12-01 00:51:27] [DEBUG] unknown:0 | Sending JSON response | Context: {"response":{"success":true,"message":"Đã thêm sản phẩm vào giỏ hàng thành công!","cartCount":4,"subtotal":374000,"finalTotal":374000,"discount":0,"lineTotal":72000},"cart_count":4}
[2025-12-01 00:51:28] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"lpup50phpljc5rssr9ank9707s"}
[2025-12-01 00:51:31] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"lpup50phpljc5rssr9ank9707s"}
[2025-12-01 00:51:37] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"lpup50phpljc5rssr9ank9707s"}
[2025-12-01 00:51:40] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"lpup50phpljc5rssr9ank9707s"}
[2025-12-01 00:51:48] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"lpup50phpljc5rssr9ank9707s"}
[2025-12-01 00:51:49] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"lpup50phpljc5rssr9ank9707s"}
[2025-12-01 00:51:56] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"lpup50phpljc5rssr9ank9707s"}
[2025-12-01 00:52:17] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"lpup50phpljc5rssr9ank9707s"}
[2025-12-01 00:55:32] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"lpup50phpljc5rssr9ank9707s"}
[2025-12-01 00:59:08] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"lpup50phpljc5rssr9ank9707s"}
[2025-12-01 01:01:25] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"lpup50phpljc5rssr9ank9707s"}
[2025-12-01 01:01:32] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"lpup50phpljc5rssr9ank9707s"}
[2025-12-01 01:01:34] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"lpup50phpljc5rssr9ank9707s"}
[2025-12-01 01:01:37] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"lpup50phpljc5rssr9ank9707s"}
[2025-12-01 01:03:25] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"lpup50phpljc5rssr9ank9707s"}
[2025-12-01 01:03:28] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"lpup50phpljc5rssr9ank9707s"}
[2025-12-01 01:03:31] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"lpup50phpljc5rssr9ank9707s"}
[2025-12-01 01:03:44] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"lpup50phpljc5rssr9ank9707s"}
[2025-12-01 01:04:19] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 01:04:23] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 01:04:29] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 01:04:31] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 01:08:29] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 01:08:42] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"lpup50phpljc5rssr9ank9707s"}
[2025-12-01 01:08:46] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"lpup50phpljc5rssr9ank9707s"}
[2025-12-01 01:09:00] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"lpup50phpljc5rssr9ank9707s"}
[2025-12-01 01:10:56] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"lpup50phpljc5rssr9ank9707s"}
[2025-12-01 01:11:09] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"lpup50phpljc5rssr9ank9707s"}
[2025-12-01 01:11:28] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"lpup50phpljc5rssr9ank9707s"}
[2025-12-01 01:11:46] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"lpup50phpljc5rssr9ank9707s"}
[2025-12-01 01:11:56] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"lpup50phpljc5rssr9ank9707s"}
[2025-12-01 01:12:03] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"lpup50phpljc5rssr9ank9707s"}
[2025-12-01 01:14:16] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"lpup50phpljc5rssr9ank9707s"}
[2025-12-01 01:14:41] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"lpup50phpljc5rssr9ank9707s"}
[2025-12-01 01:15:52] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"lpup50phpljc5rssr9ank9707s"}
